vehicle_id,Time [s],x[m],y[m],Speed [km/h],flw_type,f_error
35,16.282965,511774.95663312543,5026541.61811124,62.34238125162908,Heavy Vehicle,10.32009304979753
35,16.316332,511774.51520827436,5026541.828878376,62.41829654326409,Heavy Vehicle,10.32009304979753
35,16.349699,511774.0955569146,5026542.0437754765,62.494243114597396,Heavy Vehicle,10.32009304979753
35,16.383066,511773.6536412935,5026542.254787302,62.57020266723782,Heavy Vehicle,10.32009304979753
35,16.416432,511773.2375170195,5026542.467925851,62.64615851751883,Heavy Vehicle,10.32009304979753
35,16.449799,511772.79515972035,5026542.679157901,62.722090981682506,Heavy Vehicle,10.32009304979753
35,16.483166,511772.3566147841,5026542.89848916,62.79798508087326,Heavy Vehicle,10.32009304979753
35,16.516533,511771.9438754702,5026543.0999400355,62.87382281614739,Heavy Vehicle,10.32009304979753
35,16.549899,511771.50496692234,5026543.319452597,62.94958010482029,Heavy Vehicle,10.32009304979753
35,16.583266,511771.0618861504,5026543.541045353,63.025229903696996,Heavy Vehicle,10.32009304979753
35,16.616633,511770.6266778454,5026543.748713034,63.10074222407123,Heavy Vehicle,10.32009304979753
35,16.649999,511770.19135445566,5026543.966438103,63.176081046688054,Heavy Vehicle,10.32009304979753
35,16.683366,511769.7639475125,5026544.180216164,63.25120900215537,Heavy Vehicle,10.32009304979753
35,16.716733,511769.3284622568,5026544.398021935,63.32608581564315,Heavy Vehicle,10.32009304979753
35,16.7501,511768.8969248098,5026544.613859401,63.400669869037394,Heavy Vehicle,10.32009304979753
35,16.783466,511768.47336339136,5026544.815720159,63.47491819686418,Heavy Vehicle,10.32009304979753
35,16.816833,511768.0377622375,5026545.033583715,63.5488318634573,Heavy Vehicle,10.32009304979753
35,16.8502,511767.5881058362,5026545.25346913,63.6224307215248,Heavy Vehicle,10.32009304979753
35,16.883567,511767.16043946426,5026545.46737655,63.69570619911017,Heavy Vehicle,10.32009304979753
35,16.916933,511766.7107162855,5026545.687295269,63.76865447437094,Heavy Vehicle,10.32009304979753
35,16.9503,511766.2749806568,5026545.905225871,63.84127172450019,Heavy Vehicle,10.32009304979753
35,16.983667,511765.83321372606,5026546.12117774,63.91355254506309,Heavy Vehicle,10.32009304979753
35,17.017034,511765.3794238926,5026546.343124019,63.98549154158377,Heavy Vehicle,10.32009304979753
35,17.0504,511764.95163449715,5026546.567092772,64.05708333034372,Heavy Vehicle,10.32009304979753
35,17.083767,511764.5058204138,5026546.785062489,64.12832572233336,Heavy Vehicle,10.32009304979753
35,17.117134,511764.05597647,5026547.0050414195,64.1992165216395,Heavy Vehicle,10.32009304979753
35,17.1505,511763.6101348493,5026547.223024866,64.26975512437816,Heavy Vehicle,10.32009304979753
35,17.183867,511763.1682769919,5026547.43902208,64.33994411449814,Heavy Vehicle,10.32009304979753
35,17.217234,511762.71840720554,5026547.659013884,64.4097683841683,Heavy Vehicle,10.32009304979753
35,17.250601,511762.2725474192,5026547.877006387,64.47922094357358,Heavy Vehicle,10.32009304979753
35,17.283967,511761.82667168486,5026548.105006838,64.54832384576451,Heavy Vehicle,10.32009304979753
35,17.317334,511761.38077054755,5026548.323019957,64.61709736874514,Heavy Vehicle,10.32009304979753
35,17.350701,511760.9388283307,5026548.539059232,64.68556163530674,Heavy Vehicle,10.32009304979753
35,17.384068,511760.4928507847,5026548.767110445,64.75373498609666,Heavy Vehicle,10.32009304979753
35,17.417434,511760.02881470113,5026548.989179498,64.82163398335587,Heavy Vehicle,10.32009304979753
35,17.450801,511759.5827310339,5026549.217283619,64.88927504322928,Heavy Vehicle,10.32009304979753
35,17.484168,511759.1305780865,5026549.43342797,64.95667443226198,Heavy Vehicle,10.32009304979753
35,17.517535,511758.6803718789,5026549.663587515,65.0238433660308,Heavy Vehicle,10.32009304979753
